batter_mlb_player_id,batter_name_last_first,year,total_pa,total_hr,hr_last_year,hr_two_years_ago,hr_three_years_ago,batting_avg_last_year,batting_avg_two_years_ago,batting_avg_three_years_ago,slg_last_year,slg_two_years_ago,slg_three_years_ago,obp_last_year,obp_two_years_ago,obp_three_years_ago,max_ev_last_year,max_ev_two_years_ago,max_ev_three_years_ago,avg_ev_last_year,avg_ev_two_years_ago,avg_ev_three_years_ago,avg_la_last_year,avg_la_two_years_ago,avg_la_three_years_ago,strikeout_rate_last_year,strikeout_rate_two_years_ago,strikeout_rate_three_years_ago,walk_rate_last_year,walk_rate_two_years_ago,walk_rate_three_years_ago
605141,"Betts, Mookie",2024,513,19,39,35,23,0.2597968069666183,0.24100156494522693,0.22445255474452555,0.49056603773584906,0.47730829420970267,0.4142335766423358,0.40638606676342526,0.3395931142410016,0.36496350364963503,110.12743377685547,109.0098876953125,107.87063598632812,92.39910319633009,90.51895798803139,90.34551483266195,20.556517516405812,18.59156214866811,18.935252993211922,0.15384615384615385,0.162754303599374,0.15693430656934307,0.13497822931785197,0.08607198748043818,0.12043795620437957
595978,"Hedges, Austin",2024,145,2,1,7,10,0.15714285714285714,0.14201183431952663,0.1639871382636656,0.19523809523809524,0.21597633136094674,0.2829581993569132,0.21904761904761905,0.23372781065088757,0.21221864951768488,108.06192779541016,107.1201400756836,109.968994140625,83.08886600340773,81.40093725606015,82.97923213701982,11.689932308395704,14.48242876391139,17.19681524642958,0.22380952380952382,0.23076923076923078,0.2797427652733119,0.05238095238095238,0.07396449704142012,0.04501607717041801
664023,"Happ, Ian",2024,656,25,21,17,25,0.20899854862119013,0.24332810047095763,0.19626168224299065,0.36284470246734396,0.3956043956043956,0.3775700934579439,0.3584905660377358,0.33751962323390894,0.32149532710280376,112.62230682373047,113.90094757080078,112.10733032226562,89.73411838416433,89.56609212227588,88.8651679707812,13.005970744692705,10.746953019395663,9.52248055483033,0.2220609579100145,0.23390894819466249,0.29158878504672897,0.14078374455732948,0.0847723704866562,0.11588785046728972
650391,"Jimenez, Eloy",2024,348,6,18,16,10,0.2546201232032854,0.26299694189602446,0.22943722943722944,0.4127310061601643,0.44648318042813456,0.4025974025974026,0.3141683778234086,0.3577981651376147,0.30303030303030304,113.46704864501953,113.37117004394531,112.0022201538086,90.907326942633,92.83760755402702,90.51356566186045,5.706947799169854,7.403932824032381,8.444631059185353,0.19096509240246407,0.22018348623853212,0.24675324675324675,0.057494866529774126,0.0856269113149847,0.06926406926406926
664056,"Bader, Harrison",2024,435,12,7,5,16,0.21574344023323616,0.23322683706070288,0.2481012658227848,0.3236151603498542,0.33226837060702874,0.4278481012658228,0.27405247813411077,0.2939297124600639,0.3139240506329114,110.23551940917969,109.56839752197266,111.47647857666016,85.5491115252177,83.36628428820906,86.22831176704085,17.254439968841545,16.666950031344232,13.286927512663246,0.16909620991253643,0.19808306709265175,0.21518987341772153,0.04956268221574344,0.04792332268370607,0.053164556962025315
670541,"Alvarez, Yordan",2024,617,35,31,37,33,0.24439918533604887,0.2608695652173913,0.25084175084175087,0.48676171079429736,0.5217391304347826,0.4797979797979798,0.40122199592668023,0.3967391304347826,0.3434343434343434,117.71910858154297,117.44738006591797,116.44185638427734,93.09190986609534,95.21855236775167,93.03098131493677,16.976807785159515,12.251698080620997,13.965546949188921,0.18737270875763748,0.19202898550724637,0.24242424242424243,0.13034623217922606,0.125,0.07912457912457913
621439,"Buxton, Byron",2024,387,18,17,28,19,0.1826086956521739,0.19895287958115182,0.28346456692913385,0.3855072463768116,0.468586387434555,0.5984251968503937,0.2898550724637681,0.306282722513089,0.35826771653543305,116.93021392822266,113.4989242553711,115.57600402832031,91.49251755757548,92.60968615878214,92.09648957004437,20.140675158693863,21.312109293342512,13.697861549826715,0.3159420289855073,0.3036649214659686,0.2440944881889764,0.09565217391304348,0.08900523560209424,0.051181102362204724
669257,"Smith, Will",2024,537,20,19,24,25,0.21920289855072464,0.22996515679442509,0.2152917505030181,0.3677536231884058,0.41114982578397213,0.4124748490945674,0.35688405797101447,0.33797909407665505,0.36016096579476864,110.83184051513672,109.02324676513672,108.5965576171875,89.27041147657009,89.93877675900093,90.11716398780729,15.555482271831927,18.434995798214985,19.365896349013955,0.161231884057971,0.1672473867595819,0.20321931589537223,0.1105072463768116,0.09059233449477352,0.10865191146881288
663624,"Mountcastle, Ryan",2024,507,13,18,22,33,0.24358974358974358,0.22861842105263158,0.2328767123287671,0.4081196581196581,0.38651315789473684,0.4452054794520548,0.3247863247863248,0.3042763157894737,0.3065068493150685,114.59562683105469,112.0045166015625,114.59838104248047,91.40487176883295,91.30461692574,89.0548536401046,12.01652413541856,15.905673420204238,16.345123787976704,0.22863247863247863,0.2532894736842105,0.2756849315068493,0.07478632478632478,0.06907894736842106,0.06678082191780822
663538,"Hoerner, Nico",2024,640,7,9,10,0,0.2543604651162791,0.2631578947368421,0.2694610778443114,0.3444767441860465,0.3840155945419103,0.32934131736526945,0.34593023255813954,0.3216374269005848,0.3712574850299401,109.24008178710938,109.720703125,107.76895141601562,86.43469661353035,87.10223252956683,86.58089811706543,10.388623642965436,10.427515876157067,7.206284139633179,0.12063953488372094,0.1111111111111111,0.1497005988023952,0.07122093023255814,0.04678362573099415,0.08383233532934131
606466,"Marte, Ketel",2024,576,36,25,12,14,0.24228395061728394,0.2126126126126126,0.29110512129380056,0.42592592592592593,0.36036036036036034,0.48787061994609165,0.35648148148148145,0.3171171171171171,0.3719676549865229,117.06053924560547,114.98902130126953,116.01644134521484,90.93224790019374,90.01927693041065,90.84325430656243,10.632088117926351,13.261588521794522,9.915522922629165,0.16820987654320987,0.18198198198198198,0.16172506738544473,0.10648148148148148,0.0936936936936937,0.07547169811320754
455117,"Maldonado, Martin",2024,147,4,15,15,12,0.16953316953316952,0.16886543535620052,0.15058823529411763,0.3095823095823096,0.31926121372031663,0.2635294117647059,0.25061425061425063,0.24538258575197888,0.27058823529411763,109.2978286743164,109.23796081542969,108.23020935058594,84.32750083436358,87.16954160862214,87.27877552017027,16.123617975160162,14.217810671984381,17.54350596756829,0.3415233415233415,0.30606860158311344,0.2988235294117647,0.07371007371007371,0.05804749340369393,0.10823529411764705
676694,"Meyers, Jake",2024,512,13,10,1,6,0.20527859237536658,0.2125,0.2331288343558282,0.3460410557184751,0.29375,0.39263803680981596,0.2961876832844575,0.26875,0.31901840490797545,108.3398208618164,107.84717559814453,111.04776763916016,85.54748300567216,86.00418690840404,88.43795732055048,13.566096562664288,7.4616742142631365,8.96927727171869,0.25806451612903225,0.3375,0.3067484662576687,0.07624633431085044,0.04375,0.06134969325153374
663457,"Nootbaar, Lars",2024,403,12,14,14,5,0.2215568862275449,0.1907514450867052,0.21138211382113822,0.35528942115768464,0.37572254335260113,0.37398373983739835,0.36327345309381237,0.33815028901734107,0.3089430894308943,112.17581939697266,112.99121856689453,109.49552917480469,88.75280376791594,90.52949027504239,86.92935626478081,6.66490364691462,9.942234212000455,9.003837626741593,0.19760479041916168,0.20520231213872833,0.22764227642276422,0.13972055888223553,0.14450867052023122,0.0975609756097561
573262,"Yastrzemski, Mike",2024,473,18,15,17,25,0.2037037037037037,0.1863799283154122,0.19886363636363635,0.3888888888888889,0.34050179211469533,0.4053030303030303,0.32275132275132273,0.3046594982078853,0.30492424242424243,110.11283874511719,109.73226165771484,109.43889617919922,88.91965387205198,89.28479469844274,88.73741702414543,18.404189647040052,19.33912853368691,19.23005276900829,0.2619047619047619,0.25268817204301075,0.2481060606060606,0.1111111111111111,0.10931899641577061,0.08901515151515152
605170,"Caratini, Victor",2024,272,8,7,9,7,0.23008849557522124,0.17252396166134185,0.20402298850574713,0.3407079646017699,0.2971246006389776,0.29022988505747127,0.3274336283185841,0.2971246006389776,0.29310344827586204,112.4324722290039,112.7986068725586,112.54364776611328,91.33515500722442,89.12840386174152,89.9537460131523,10.75249779379543,6.521087370398972,8.433474014712194,0.19911504424778761,0.21405750798722045,0.23563218390804597,0.084070796460177,0.09584664536741214,0.07758620689655173
518934,"LeMahieu, D.J.",2024,228,2,15,12,10,0.21645796064400716,0.2255083179297597,0.2363367799113737,0.3470483005366726,0.32532347504621073,0.3190546528803545,0.32379248658318427,0.3567467652495379,0.34711964549483015,111.24405670166016,110.88701629638672,110.59742736816406,89.45107295806395,88.69657755616922,90.56380050961334,3.6338019960704333,3.032450886976779,4.957293254579648,0.22361359570661896,0.13123844731977818,0.13884785819793205,0.10196779964221825,0.12384473197781885,0.10487444608567208
623993,"Santander, Anthony",2024,662,44,28,33,18,0.2324159021406728,0.21362229102167182,0.2237442922374429,0.42660550458715596,0.4040247678018576,0.4018264840182648,0.32262996941896027,0.3173374613003096,0.2853881278538813,113.04094696044922,111.98627471923828,112.78638458251953,90.57986232335627,89.84540163199213,90.53622966754013,20.221609025142463,21.197443448066483,17.749382187030655,0.2324159021406728,0.18885448916408668,0.23059360730593606,0.08103975535168195,0.08359133126934984,0.05251141552511415
650490,"Diaz, Yandy",2024,621,14,22,9,13,0.2888146911519199,0.2517985611510791,0.22160148975791433,0.4574290484140234,0.3597122302158273,0.33519553072625696,0.41068447412353926,0.39928057553956836,0.34823091247672255,114.46177673339844,114.30025482177734,113.4972915649414,93.32781822458902,92.05911901444627,89.74220917573686,5.694030168538321,7.542677168621332,6.593788581371782,0.15525876460767946,0.1079136690647482,0.15828677839851024,0.10851419031719532,0.1366906474820144,0.12104283054003724
656716,"McKinstry, Zach",2024,324,4,9,5,7,0.20696324951644102,0.1783783783783784,0.19883040935672514,0.3152804642166344,0.32432432432432434,0.3742690058479532,0.29980657640232106,0.2702702702702703,0.2573099415204678,108.27753448486328,104.17842864990234,106.17478942871094,86.73393812017926,85.05370995094036,87.5508599152436,17.352822850821383,10.891868382949253,13.549042620637396,0.218568665377176,0.2810810810810811,0.29239766081871343,0.08317214700193423,0.08648648648648649,0.05263157894736842
656941,"Schwarber, Kyle",2024,688,38,47,46,32,0.16106442577030813,0.1891891891891892,0.225531914893617,0.38795518207282914,0.4369369369369369,0.4702127659574468,0.3389355742296919,0.31981981981981983,0.3723404255319149,115.22166442871094,114.76484680175781,116.62248992919922,92.24636034927164,92.95301034210851,92.27764270768498,18.70527431660459,18.94644619008063,15.404187836790042,0.29971988795518206,0.3003003003003003,0.2702127659574468,0.16946778711484595,0.12462462462462462,0.13404255319148936
668227,"Arozarena, Randy",2024,647,20,23,20,20,0.21439509954058192,0.23950233281493002,0.24166666666666667,0.35834609494640124,0.4059097978227061,0.405,0.36294027565084225,0.3250388802488336,0.3516666666666667,114.25814819335938,114.0622787475586,112.56596374511719,91.32427307584229,89.84120002863696,89.69416427606471,11.110945527368745,8.824906696723545,7.750339584462456,0.23889739663093415,0.24261275272161742,0.2833333333333333,0.12098009188361408,0.06842923794712286,0.08666666666666667
643396,"Kiner-Falefa, Isiah",2024,494,8,5,4,8,0.21666666666666667,0.2381852551984877,0.2548148148148148,0.2972222222222222,0.29867674858223064,0.3362962962962963,0.30277777777777776,0.31001890359168244,0.30962962962962964,109.5678939819336,109.7548599243164,107.92864227294922,88.03383921472262,85.3195710570048,85.25248338436938,6.351621156378602,3.955854468356578,5.1340699064598105,0.19444444444444445,0.13610586011342155,0.13333333333333333,0.07777777777777778,0.062381852551984876,0.03851851851851852
665926,"Gimenez, Andres",2024,632,9,15,17,5,0.22838499184339314,0.2640144665461121,0.19523809523809524,0.3621533442088091,0.4141048824593128,0.3142857142857143,0.3083197389885807,0.36347197106690776,0.28095238095238095,108.78954315185547,109.86984252929688,110.17194366455078,83.13485560946994,85.34731245618876,85.39227681920148,11.856358036051194,10.664447757995148,7.812445689802584,0.18270799347471453,0.20253164556962025,0.2571428571428571,0.04730831973898858,0.054249547920433995,0.05238095238095238
647304,"Naylor, Josh",2024,624,31,17,20,7,0.2865979381443299,0.23279352226720648,0.23790322580645162,0.4556701030927835,0.4109311740890688,0.375,0.3422680412371134,0.31376518218623484,0.29838709677419356,113.86845397949219,113.01176452636719,114.66729736328125,89.07877464098306,89.38652004734162,89.75234547067195,12.329395791754509,10.269642605478738,9.001538853299744,0.13814432989690723,0.16194331983805668,0.1814516129032258,0.049484536082474224,0.06882591093117409,0.05241935483870968
658668,"Olivares, Edward",2024,196,5,12,4,5,0.2421875,0.26436781609195403,0.21621621621621623,0.4166666666666667,0.3793103448275862,0.36936936936936937,0.3151041666666667,0.3333333333333333,0.2882882882882883,111.03260803222656,111.26875305175781,109.08780670166016,87.29871065322666,89.2404852294922,86.79420934404645,12.166994420224674,6.628505260225326,7.055348705234272,0.16666666666666666,0.20689655172413793,0.17117117117117117,0.0546875,0.05747126436781609,0.04504504504504504
646240,"Devers, Rafael",2024,587,28,33,27,38,0.2434108527131783,0.27197346600331673,0.2511415525114155,0.4496124031007752,0.4792703150912106,0.4840182648401826,0.34108527131782945,0.3466003316749585,0.3455098934550989,115.0429916381836,113.73186492919922,114.36500549316406,93.03325762665062,93.02789120346723,92.69972176985307,12.304464404863355,11.11270618277323,12.846153081520699,0.1937984496124031,0.1890547263681592,0.2176560121765601,0.08062015503875969,0.06467661691542288,0.0837138508371385
572233,"Walker, Christian",2024,548,26,33,36,10,0.228310502283105,0.21203007518796993,0.22072072072072071,0.4398782343987823,0.4180451127819549,0.34459459459459457,0.3302891933028919,0.324812030075188,0.3130630630630631,114.32759094238281,112.61369323730469,111.12245178222656,87.97163940248427,90.01073440785481,88.73868957636687,15.831914320861676,17.003824000047544,15.594408946266723,0.1933028919330289,0.19699248120300752,0.23873873873873874,0.0898021308980213,0.10075187969924812,0.08333333333333333
683734,"Vaughn, Andrew",2024,618,19,21,17,15,0.23739837398373984,0.24864864864864866,0.208955223880597,0.3951219512195122,0.3945945945945946,0.35181236673773986,0.31382113821138213,0.3207207207207207,0.3091684434968017,111.73368072509766,112.07345581054688,114.97650909423828,90.63911978041664,90.75902217568704,91.06344804195774,11.154477754323521,7.458743432988819,9.661201371142763,0.2097560975609756,0.17297297297297298,0.21535181236673773,0.05853658536585366,0.055855855855855854,0.08742004264392324
