release_speed,spin_rate,horizontal_break,induced_vertical_break,pitch_type,pitch_type_category
80.03079986572266,2692.739990234375,10.040533065795898,-5.515044212341309,Curveball,Breaking Ball
96.79460144042969,2614.739990234375,-11.80491828918457,16.638357162475586,Fastball,Fastball
98.48069763183594,2592.830078125,-11.663594245910645,16.354047775268555,Fastball,Fastball
97.10040283203125,2382.050048828125,-8.924785614013672,16.850290298461914,Fastball,Fastball
88.58380126953125,2632.030029296875,2.9767050743103027,2.436595916748047,Slider,Breaking Ball
89.78510284423828,2591.050048828125,4.597718238830566,3.037306308746338,Slider,Breaking Ball
86.9937973022461,2664.050048828125,4.053105354309082,-0.9318218231201172,Slider,Breaking Ball
98.66590118408203,2468.739990234375,-9.48181438446045,17.328495025634766,Fastball,Fastball
92.14320373535156,2632.610107421875,4.711634159088135,5.3138837814331055,Slider,Breaking Ball
98.7251968383789,2454.72998046875,-10.815040588378906,14.974184036254883,Fastball,Fastball
99.1675033569336,2539.72998046875,-8.862360954284668,18.14811897277832,Fastball,Fastball
95.67852783203125,2538.239013671875,-11.124776840209961,16.731063842773438,Fastball,Fastball
88.17900085449219,2694.6298828125,4.828965187072754,3.1467337608337402,Slider,Breaking Ball
97.85209655761719,2522.050048828125,-10.648401260375977,15.937524795532227,Fastball,Fastball
96.10449981689453,2543.050048828125,-11.777600288391113,17.165746688842773,Fastball,Fastball
93.19930267333984,2678.699951171875,1.3138766288757324,6.727259635925293,Slider,Breaking Ball
95.91889953613281,2415.050048828125,-9.59221076965332,15.835407257080078,Fastball,Fastball
89.96710205078125,2672.050048828125,4.888833522796631,5.060266494750977,Slider,Breaking Ball
89.94550323486328,2606.0,6.230227947235107,1.7508339881896973,Slider,Breaking Ball
97.33989715576172,2548.030029296875,-10.692923545837402,16.755290985107422,Fastball,Fastball
88.54209899902344,2517.429931640625,3.034626007080078,3.298438549041748,Slider,Breaking Ball
90.73629760742188,1621.72998046875,-15.86967945098877,2.308772087097168,Changeup,Offspeed
90.11740112304688,2599.489990234375,4.843909740447998,1.868332028388977,Slider,Breaking Ball
89.88099670410156,1636.050048828125,-18.018400192260742,0.4213902950286865,Changeup,Offspeed
89.56549835205078,1644.9599609375,-13.319334030151367,2.8207178115844727,Changeup,Offspeed
89.86479949951172,2824.489990234375,5.146437168121338,2.948335886001587,Slider,Breaking Ball
99.747802734375,2603.840087890625,-11.229951858520508,16.775453567504883,Fastball,Fastball
96.8364028930664,2566.489990234375,-9.623138427734375,14.96136474609375,Fastball,Fastball
89.3240966796875,2572.830078125,5.475837230682373,2.5250234603881836,Slider,Breaking Ball
88.66878509521484,2564.14501953125,6.841516494750977,-0.08155205845832825,Slider,Breaking Ball
88.90374755859375,2747.84619140625,8.596089363098145,-1.9789998531341553,Slider,Breaking Ball
87.77980041503906,2667.429931640625,6.047045707702637,-0.2652725279331207,Slider,Breaking Ball
96.35929870605469,2498.6298828125,-8.601262092590332,17.108606338500977,Fastball,Fastball
90.57589721679688,2676.0,3.329038143157959,2.6809909343719482,Slider,Breaking Ball
88.92440032958984,2662.6298828125,6.275938987731934,1.1051346063613892,Slider,Breaking Ball
92.33480072021484,2673.840087890625,7.608107566833496,7.307549476623535,Slider,Breaking Ball
88.28199768066406,2624.050048828125,5.6994099617004395,2.766407012939453,Slider,Breaking Ball
87.78109741210938,1608.489990234375,-10.996074676513672,6.744507789611816,Changeup,Offspeed
98.10070037841797,2477.72998046875,-8.303319931030273,15.735016822814941,Fastball,Fastball
96.86150360107422,2531.030029296875,-7.962212562561035,16.100553512573242,Fastball,Fastball
92.27960205078125,2668.610107421875,5.325830459594727,4.96504020690918,Slider,Breaking Ball
88.65779876708984,1687.9599609375,-12.504032135009766,9.516671180725098,Changeup,Offspeed
96.45339965820312,2451.429931640625,-8.391033172607422,15.458492279052734,Fastball,Fastball
90.07009887695312,1627.030029296875,-8.525943756103516,12.599332809448242,Changeup,Offspeed
98.5271987915039,2556.489990234375,-8.190418243408203,16.27140998840332,Fastball,Fastball
89.71589660644531,2671.050048828125,5.465914726257324,3.4483909606933594,Slider,Breaking Ball
99.04389953613281,2565.72998046875,-11.437637329101562,16.992870330810547,Fastball,Fastball
98.68820190429688,2584.030029296875,-9.664288520812988,17.603092193603516,Fastball,Fastball
89.61699676513672,2701.050048828125,3.1755051612854004,3.6984548568725586,Slider,Breaking Ball
92.02760314941406,2695.300048828125,3.8862624168395996,3.6570777893066406,Slider,Breaking Ball
97.92610168457031,2488.050048828125,-6.4837117195129395,18.996456146240234,Fastball,Fastball
90.3427963256836,1694.581787109375,-16.16391944885254,1.7311509847640991,Changeup,Offspeed
96.61190032958984,2403.9599609375,-12.010522842407227,15.529953002929688,Fastball,Fastball
96.69637298583984,2558.2470703125,-7.9756975173950195,17.257741928100586,Fastball,Fastball
89.13899993896484,2800.489990234375,2.7381389141082764,3.1805663108825684,Slider,Breaking Ball
90.26139831542969,2662.489990234375,3.4517722129821777,2.5495779514312744,Slider,Breaking Ball
89.14140319824219,1667.4300537109375,-13.831987380981445,2.5348422527313232,Changeup,Offspeed
100.28900146484375,2677.739990234375,-7.468593120574951,16.95654296875,Fastball,Fastball
89.08480072021484,2536.159912109375,6.122428894042969,3.1436827182769775,Slider,Breaking Ball
92.07129669189453,2696.489990234375,4.375921726226807,3.3935370445251465,Slider,Breaking Ball
88.01679992675781,2666.9599609375,4.112078666687012,3.3921689987182617,Slider,Breaking Ball
99.45700073242188,2585.699951171875,-10.008129119873047,18.807106018066406,Fastball,Fastball
